Year,Order Number,Date,Total Price,Product
2024,408-2652756-4522741,19-Dec-24,"₹ 4,545.00",Philips Cordless Epilator– All-Rounder for Face and Body Hair Removal (White)
2024,408-4122061-0998700,02-Dec-24,"₹ 8,999.00","Aquaguard Sure Delight NXT 6-Stage Water Purifier | RO+UV+UF Tech | Free Service Plan worth ₹2000 | India’s #1 Water Purifier | Suitable for Borewell, Tanker & Municipal Water"
2024,408-0433893-3521114,02-Dec-24,₹ 0.00,Kitchen Installation Service by Eureka Forbes
2024,408-6100760-7361151,28-Nov-24,₹ 147.00,"Ferrai Girl's Stretchable Belt Pack of 1 Black,Free Size"
2024,408-5313454-9553129,28-Nov-24,₹ 645.00,Harpic Limescale Remover 750ml
2024,408-7513632-7164316,08-Nov-24,₹ 469.00,"ITUSHA Air Fryer Silicone Liners-2 Pack Silicone Liners, 7.5 Inch Air Fryer Liners"
2024,408-1715892-9648333,02-Nov-24,"₹ 9,080.00","PHILIPS Digital Air Fryer HD9252/90 with Touch Panel, uses up to 90% less fat, 7 Pre-set Menu, 1400W, 4.1 Liter, with Rapid Air Technology (Black), Large"
2024,408-3604599-9692315,01-Nov-24,₹ 601.00,"VIP Bonus Classic Round Neck Premium Cotton Vest with Sleeves, 100% Combed Cotton, Antibacterial and Odour Control Vest for Men’s-36IN, Pack of 4 (White)"
2024,D01-0302675-0002247,Unknown Date,N/A,No Product Found
2024,171-9299908-8103562,27-Sep-24,"₹ 1,499.00",Amazon Prime (Yearly Membership)
2024,171-7775103-7910756,22-Sep-24,N/A,Prime Lite
2024,403-5336632-4441966,18-Sep-24,"₹ 2,399.00","JBL Newly Launched Wave Flex in-Ear Wireless Earbuds TWS with Mic,App for Custom Extra Bass EQ, 32Hrs Battery, Quick Charge, IP54 Water & Dust Proof, Ambient Aware, Talk-Thru,Google FastPair (Black)"
2024,406-4797620-7809132,16-Sep-24,"₹ 1,599.00","Amazon Brand - Solimo Wooden Ironing Board/Table with Iron Holder, Foldable & Adjustable (116 x 40cm)"
2024,403-6758863-7324319,06-Sep-24,₹ 499.00,"HASTHIP Plastic Artificial Rose Flowers Vine Garland, 1.8M Fake Artificial Flower Hanging Rose Ivy Flowers Garland Ornament For Door, Room, Garden, Wedding Decroation, Rose Red"
2024,406-7367911-8997964,30-Aug-24,₹ 269.00,KITSSENTIAL Toilet Active Oxygen Cleaner Agent | Cleaner Toilet Powder With Super Active Cleaning Liquid Agent | Can Effectively Remove Stubborn Dirt From Toilet Etc | With Liquid 250 + 100)
2024,406-4505541-8365954,26-Aug-24,₹ 500.00,VIP Men's Regular Fit Vest White L (Pack Of 5)
2024,403-5548973-3227535,22-Aug-24,₹ 699.00,"Destinio Umbrella for Women, Umbrella for Men - Automatic 3 Fold Windproof with Travel Cover with Auto Open and Close (21 Inch (Regular folding), Teal Blue (Auto open close, With UV Coating))"
2024,403-8969363-1888367,16-Aug-24,₹ 889.00,"Destinio Umbrella for Women -3 Fold, UV Coated, Auto Open Close- Printed Design Umberallas for Ladies, Girls and Men (Printed Pink)"
2024,403-5674216-0568332,08-Aug-24,₹ 521.00,How To Win Friends And Influence People (Dale Carnegie Books)
2024,403-6901519-5686732,08-Aug-24,₹ 409.00,"INN-VenTorE Moisture Proof Nylon Large Size Storage Bag | Under bed For Clothes & Blankets With Zipper Closure & Handle | Rectangular Shape Storage Bag (Black, Pack of 1)"
2024,408-8513353-5272341,15-Jul-24,₹ 339.00,Pikkme Mi Redmi Note 5 Pro Flip Cover | Genuine PU Leather Finish | Full 360 Protection | Wallet Style | Inbuilt Pockets & Stand | Strong Magnetic Flip Case for Mi Redmi Note 5 Pro (Grey)
2024,402-5462154-4573919,08-Jun-24,"₹ 2,610.00","Royal Canin Pellet Beagle Adult Dog Food, Meat Flavour, 3 KG,Pack of 1"
2024,402-3875277-9763501,08-Jun-24,₹ 895.00,"Girnar Food & Beverages Pvt. Ltd. Detox Green Tea (Desi Kahwa),250G (100 Tea Bags),250 Grams"
2024,402-0896925-9585107,08-Jun-24,₹ 458.00,Pawsitively Pet Care Dog's Sky Ec Anti-Tick Shampoo (200 ml) - Pack of 2
2024,406-2628683-6291561,02-Apr-24,"₹ 1,190.00","Victorinox Swiss Army Knife - Rally - 9 Functions, Multi-utility Tool - Red, 58 mm"
2024,402-7938233-8169948,16-Mar-24,₹ 389.00,"Water Bottle Aquasafe Fliptop Flip Top 310 Ml 1 Pc Multicolour, Plastic"
2024,402-0989713-9423568,03-Mar-24,"₹ 1,568.00","Philips 1200 Watts Hair Dryer (Bhc010/10, Black)"
2024,402-0534931-9821166,25-Feb-24,₹ 349.00,"Lizol 1800 ml - Citrus, Disinfectant Surface & Floor Cleaner Liquid Refill Pack | Suitable for All Floor Cleaner Mops | Kills 99.9% Germs| India's #1 Floor Cleaner"
2024,403-8494547-9373168,16-Jan-24,"₹ 19,999.00","Redmi Note 13 5G (Stealth Black, 8GB RAM, 256GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever"
2024,403-9990880-3627560,16-Jan-24,"₹ 14,999.00",Redmi 12 5G Jade Black 8GB RAM 256GB ROM
2024,407-5401349-4704350,13-Jan-24,"₹ 1,139.00",SKAFA Wooden Plant Stand for Balcony Living Room Indoor Outdoor (4 Tier)
2024,407-3782595-9693953,06-Jan-24,₹ 439.00,"KRAFT VILLA Wooden Plant Stand for Home Decor with 3 Decks, Brown, 12 inch, 1 Piece"
2023,402-1687179-9428324,27-Dec-23,₹ 499.00,In The Miso Soup
2023,407-5111620-9097169,23-Dec-23,₹ 257.00,Odonil Bathroom Air Freshener Combo : Zipper Mixed Fragrances - 30g(3x10g) + Block Mixed Fragrances - 192g(4x48g) | Long Lasting Fragrance
2023,407-5893872-2608337,09-Dec-23,₹ 989.00,Gorevizon Wooden Standard Adjustable Study Bed Laptop Multipurpose Table with Foldable Legs and Drawer (Brown)
2023,407-7001268-3921109,25-Nov-23,₹ 257.00,Odonil Bathroom Air Freshener Combo : Zipper Mixed Fragrances - 30g(3x10g) + Block Mixed Fragrances - 192g(4x48g) | Long Lasting Fragrance
2023,407-2981581-8459560,25-Nov-23,₹ 815.00,"Gauri International 100% Natural and Pure Aloe Vera Gel for Acne, Face Scars, Glowing Skin and Hair Care (Non toxic), 230ml"
2023,406-3338159-1354749,16-Nov-23,₹ 474.00,Amozo Designed for iPhone 14 Cover | Ultra Hybrid Camera Protection Back Cover Case for iPhone 14 (Polycarbonate|Transparent Back) (Black)
2023,407-8793450-6125951,06-Nov-23,₹ 805.00,"Girnar Food & Beverages Pvt. Ltd. Detox Green Tea (Desi Kahwa),250G (100 Tea Bags),250 Grams"
2023,407-2151196-3093947,26-Oct-23,₹ 356.00,"Bark Out Loud by Vivaldis - Natural Tick & Flea Spray for Dogs and Cats, Gentle on Skin, ensures Healthy Coat in Dogs & Cats 200ml"
2023,407-0900705-6153935,26-Oct-23,₹ 361.00,"Bark Out Loud, Vivaldis – Natural Spot On | Preventive Treatment for Fleas & Ticks | Enriched with 11 Essential Oils | Gentle on Skin, ensures Healthy Coat Dogs & Cat 1.5/3 /5 ml (3ml 10-30kg)"
2023,407-8992318-6445954,24-Oct-23,₹ 348.00,"Farmley Premium Date Bites Dry Fruit Barfi Healthy and Delicious Indian Sweets Gift Pack 200 gram | Made with Dates, Pistachios, Cashewnuts, Almonds, Honey and Pure Ghee"
2023,407-4541188-2971520,24-Oct-23,"₹ 1,179.54","Machak Crick Glass Water Bottle For Fridge 1 ltr (Red, 1)"
